customer_id,name,email,region,segment,signup_date
C00001,Thomas Bradford,clayjeff@example.org,West,At-Risk,2023-12-02
C00002,Adrian Skinner,brittanyramirez@example.com,Midwest,New,2024-01-24
C00003,James Williams,norrischristopher@example.org,Southwest,Regular,2024-05-12
C00004,Jessica Larson,oriley@example.com,Midwest,Regular,2023-07-28
C00005,Kevin Jones,veronicacastillo@example.com,Midwest,New,2023-04-28
C00006,Lisa Munoz DDS,cheryltaylor@example.org,West,Regular,2023-04-03
C00007,Gregory Garrett,kathy43@example.com,Midwest,VIP,2024-02-15
C00008,Sandra Caldwell,oweneric@example.net,Southeast,Regular,2024-05-31
C00009,Paige Castro,ryangalvan@example.org,Southeast,Regular,2024-04-09
C00010,Melanie Gordon,andersonmadison@example.com,Southwest,Regular,2023-03-25
C00011,Michael Long,phillipsmelissa@example.org,Southeast,Regular,2024-04-15
C00012,Nathan Green,cwilson@example.com,West,VIP,2022-03-11
C00013,Michele Gill,omorris@example.net,Midwest,Regular,2024-02-21
C00014,Trevor Harvey,snowronald@example.org,Southeast,VIP,2023-07-03
C00015,Amber Newman,robin02@example.org,West,Regular,2023-01-22
C00016,Wayne Davis,phelpsvalerie@example.net,Midwest,Regular,2024-02-21
C00017,Jared Woodard,flemingjessica@example.org,West,Regular,2023-07-08
C00018,Tony Taylor,suzanne42@example.org,Midwest,New,2024-12-12
C00019,Katherine Vargas,jonesjohnny@example.org,Southwest,Regular,2022-06-02
C00020,Nicholas Cooper,valdezandrea@example.com,Southeast,At-Risk,2023-12-12
C00021,Christine Harrell,thomas41@example.com,West,Regular,2022-07-05
C00022,Mr. Logan Thompson,kevin47@example.org,Southeast,Regular,2024-06-21
C00023,Jeremy Morgan,victoria66@example.net,Southwest,Regular,2023-09-15
C00024,Shelley Brewer,juankey@example.com,West,Regular,2022-03-10
C00025,Christina Wallace,cgonzales@example.net,West,Regular,2023-04-24
C00026,Tracy Porter,michelle09@example.com,Midwest,At-Risk,2023-09-09
C00027,Dr. Rebecca Perry,steven47@example.org,West,Regular,2023-05-13
C00028,Emily Hutchinson,albert71@example.net,West,Regular,2023-05-03
C00029,Billy Barnett,chamberspatrick@example.org,Southeast,Regular,2023-08-04
C00030,Jasmin Bowen,jacob12@example.org,Southwest,At-Risk,2024-06-30
C00031,Adam Taylor,lorimccarthy@example.org,Southeast,Regular,2023-04-01
C00032,William Lewis,mortonallison@example.com,Southeast,New,2023-05-30
C00033,Thomas Barnett,bjohnston@example.net,West,VIP,2024-05-17
C00034,Roberto Schultz,masseykatelyn@example.net,Southwest,Regular,2022-07-22
C00035,Nicholas Obrien,tanya35@example.org,Southeast,Regular,2023-02-19
C00036,Kimberly Smith,davisandrew@example.org,Southeast,At-Risk,2024-06-16
C00037,Anna Burke,christinesmith@example.com,West,Regular,2024-12-08
C00038,Robert Hudson,ericabest@example.com,Northeast,Regular,2023-06-24
C00039,Emma Taylor,alexcastro@example.net,Southwest,Regular,2024-07-29
C00040,Patrick Gonzalez,emily95@example.net,Northeast,New,2023-12-01
C00041,Candice Pearson,oyork@example.net,West,Regular,2022-04-03
C00042,Megan Howard,julielarson@example.com,Midwest,Regular,2024-06-23
C00043,Allison Johnson,floydjennifer@example.com,Midwest,New,2023-08-30
C00044,Kristina Perry,grayamanda@example.org,Midwest,Regular,2022-03-06
C00045,Jason Hamilton,yjordan@example.net,Southeast,Regular,2022-02-01
C00046,Laurie Blair,scampos@example.com,Northeast,Regular,2023-10-12
C00047,Gerald Martin,jacksonchristopher@example.net,Southeast,Regular,2024-08-09
C00048,Taylor Robertson,qtaylor@example.org,Southwest,Regular,2022-06-21
C00049,David Sullivan,derekcaldwell@example.org,Midwest,Regular,2022-11-28
C00050,Walter Cox,summer38@example.net,Midwest,Regular,2022-06-27
C00051,Joseph Waters,cheryl27@example.org,Midwest,New,2024-07-28
C00052,Karla Simmons,soniawright@example.net,Southeast,Regular,2024-09-06
C00053,Michael Adams,ryan12@example.com,Midwest,Regular,2022-03-14
C00054,Julia Smith,sarascott@example.com,Southeast,VIP,2024-06-19
C00055,Kenneth Conner,bryanlane@example.net,Southwest,Regular,2022-11-29
C00056,Kara Sanchez,christine76@example.org,Northeast,Regular,2024-02-19
C00057,Heather Stephens,chad62@example.org,West,At-Risk,2023-01-26
C00058,Victoria Ayala,susan32@example.com,Southwest,Regular,2023-02-16
C00059,Gabrielle Torres,morganamanda@example.org,Southwest,Regular,2024-01-27
C00060,Ryan Rose,usmith@example.net,Midwest,Regular,2024-03-17
C00061,Ashley Graham,stephanie54@example.net,West,At-Risk,2024-07-05
C00062,Kelly Davenport,jameswilliams@example.net,Southwest,Regular,2023-04-10
C00063,Derrick Johnson,jordan93@example.com,Southwest,New,2023-10-05
C00064,James Coleman,luke00@example.org,West,Regular,2022-10-21
C00065,Alexander Stewart,andersonscott@example.net,West,New,2022-11-29
C00066,Shannon Moody,umoyer@example.org,Midwest,Regular,2022-07-20
C00067,Heather Maldonado,jameswalker@example.org,West,Regular,2023-04-21
C00068,Gina Ingram,qchristian@example.org,Northeast,Regular,2024-04-11
C00069,Mr. Timothy Jacobs,john89@example.org,Midwest,Regular,2022-03-08
C00070,Steven Mills,wwoods@example.net,West,Regular,2022-05-25
C00071,Troy Baker,richardsonbradley@example.com,Midwest,VIP,2023-04-09
C00072,David Steele,ikim@example.net,Midwest,Regular,2023-07-28
C00073,Autumn Lee,thomasbrandy@example.com,Southwest,Regular,2024-06-11
C00074,Edward George,connie57@example.org,Southeast,Regular,2024-07-12
C00075,Jennifer Sanchez,julie29@example.com,Midwest,Regular,2023-06-18
C00076,Jaime Roberts,mary03@example.net,Northeast,Regular,2023-02-07
C00077,Bethany Villa,mahoneyrandy@example.com,Northeast,Regular,2023-01-08
C00078,Victor Tyler,danieljackson@example.net,West,Regular,2024-04-13
C00079,Antonio Silva,jmorgan@example.com,Southeast,Regular,2024-01-09
C00080,Stephen Baker,ynichols@example.org,Southwest,Regular,2023-05-11
C00081,Matthew Green,joeljones@example.com,Northeast,Regular,2024-06-14
C00082,Heather Bell,dperez@example.com,Southeast,Regular,2023-10-08
C00083,Rebekah Wu,aprilcontreras@example.org,Southwest,Regular,2024-10-16
C00084,Jenna Wright DDS,wmendez@example.org,Northeast,Regular,2024-04-02
C00085,Matthew Sullivan,vbrandt@example.com,Southeast,Regular,2022-12-28
C00086,Michael Delgado,emma08@example.net,Southeast,At-Risk,2022-02-26
C00087,Adam Parsons,colleenfletcher@example.com,West,Regular,2024-10-16
C00088,Nathan Taylor,adrian96@example.org,Midwest,Regular,2022-09-13
C00089,Wanda Summers,shawnjenkins@example.net,Southwest,Regular,2023-11-14
C00090,Amy Davis,omcgee@example.org,Midwest,New,2022-02-07
C00091,Glenn Hernandez,santosgabrielle@example.com,Northeast,Regular,2024-06-30
C00092,James Watkins,johnsonstephen@example.net,Midwest,Regular,2023-02-16
C00093,Stephanie Richards,susan01@example.net,Southwest,New,2023-09-30
C00094,Ethan Summers,mccartychristopher@example.org,West,Regular,2023-06-14
C00095,Steven Smith,vjones@example.net,Midwest,Regular,2022-12-12
C00096,Jordan Carter,scottkim@example.net,Midwest,Regular,2023-04-01
C00097,Christopher Guerrero,tracey67@example.com,West,At-Risk,2023-07-06
C00098,Amy Rice,lisa95@example.net,Southeast,New,2022-12-25
C00099,Peter Johnson,kathleen31@example.net,Midwest,Regular,2022-10-04
C00100,Larry Jarvis,fmaynard@example.net,Northeast,Regular,2023-06-11
C00101,Arthur Bridges,adamriley@example.org,Southeast,Regular,2022-12-30
C00102,Parker Frye Jr.,thancock@example.com,West,Regular,2022-09-24
C00103,Jacob Joseph,rarmstrong@example.com,Northeast,Regular,2022-09-18
C00104,Diana Osborn,wmorgan@example.org,Northeast,Regular,2023-10-02
C00105,David Vaughn,tmiddleton@example.net,West,Regular,2024-03-18
C00106,John Faulkner,kim81@example.org,Midwest,Regular,2024-10-09
C00107,Noah Wood,mullinsbrandon@example.com,Northeast,Regular,2023-05-24
C00108,Larry Hodge,schmidtfelicia@example.com,Midwest,New,2022-05-24
